,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Token,$SELF,,,,,,,,,,,(bonus staking program available for every category that gets tokens at TGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Max. supply,"500,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Token Allocation,,,,Pre-Launch,,,,,TGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,%,Token,,"Price, USD","Raise, USD","FDV, USD",,,"TGE, %","TGE, tokens","post TGE, %","post TGE, tokens",Cliff,Vesting (M),Vesting (%/M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pre-Seed,10%,"50,000,000",,0.03,"1,500,000","15,000,000",,Pre-Seed,50%,"25,000,000",50%,"25,000,000",0,10,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seed,2%,"10,000,000",,0.04,"400,000","20,000,000",,Seed,25%,"2,500,000",75%,"7,500,000",0,12,6.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private,2%,"10,000,000",,0.05,"500,000","25,000,000",,Private,25%,"2,500,000",75%,"7,500,000",3,15,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public,1%,"5,000,000",,0.06,"300,000","30,000,000",,Public,20%,"1,000,000",80%,"4,000,000",3,15,5.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Partners,4%,"20,000,000",,,,,,Partners,10%,"2,000,000",90%,"18,000,000",3,15,6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team & Advisors,10%,"50,000,000",,,,,,Team & Advisors,0%,0,100%,"50,000,000",3,36,2.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staking,21%,"105,000,000",,,,,,Staking,0%,0,100%,"105,000,000",,,,Staking is the vesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Community & Grants,20%,"100,000,000",,,,,,Community & Grants,20%,"20,000,000",80%,"80,000,000",3,48,1.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ecosystem,20%,"100,000,000",,,,,,Ecosystem,25%,"25,000,000",75%,"75,000,000",0,36,2.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liquidity,10%,"50,000,000",,,,,,Liquidity,0%,0,100%,"50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presale Supply,15%,,,,,,,,WAVG,Total,WAVG,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presale Supply,"60,000,000",Tokens,,,,,,,16%,"78,000,000",84%,"422,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presale Raise,"2,700,000",USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TGE Supply,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TGE Supply,"78,000,000",Tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Sale Price,0.06,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TGE Market Cap,"4,680,000",USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
